Sno,Gender,10th %,SSC Board,12th %,HSC Board,12th Stream,Degree %,Degree stream,Mba %,status
60,M,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,56.66,Placed
61,M,74,Central,70,Central,Science,72,Comm&Mgmt,57.24,Placed
62,M,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,,Placed
63,F,86.5,Others,64.2,Others,Science,67.4,Sci&Tech,59.69,Placed
64,M,61,Others,70,Others,Commerce,64,Comm&Mgmt,59.5,Not Placed
65,M,80,Others,73,Others,Commerce,75,Comm&Mgmt,58.78,Placed
66,M,54,Others,47,Others,Science,57,Comm&Mgmt,57.1,Not Placed
67,M,83,Others,74,Others,Science,66,Comm&Mgmt,,Placed
68,M,80.92,Others,78.5,Others,Commerce,67,Comm&Mgmt,60.99,Placed
69,F,69.7,Central,47,Central,Commerce,,Sci&Tech,59.24,Not Placed
70,M,73,Central,73,Central,Science,66,Sci&Tech,68.07,Placed
71,M,82,Others,61,Others,Science,62,Sci&Tech,65.45,Placed
72,M,75,Others,70.29,Others,Commerce,71,Comm&Mgmt,66.94,Placed
73,M,84.86,Others,67,Others,Science,78,Comm&Mgmt,68.53,Placed
74,M,64.6,Central,83.83,Others,Commerce,71.72,Comm&Mgmt,,Placed
75,M,56.6,Central,64.8,Central,Commerce,70.2,Comm&Mgmt,67.2,Placed
76,F,59,Central,62,Others,Commerce,77.5,Comm&Mgmt,67,Not Placed
77,F,66.5,Others,70.4,Central,Arts,71.93,Comm&Mgmt,64.27,Placed
78,M,64,Others,80,Others,Science,65,Sci&Tech,57.65,Placed
79,M,84,Others,90.9,Others,Science,64.5,Sci&Tech,59.42,Placed
80,F,69,Central,62,Central,Science,66,Sci&Tech,,Not Placed
81,F,69,Others,62,Others,Commerce,69,Comm&Mgmt,62.35,Placed
82,M,81.7,Others,63,Others,Science,67,Comm&Mgmt,70.2,Placed
83,M,63,Central,67,Central,Commerce,,Comm&Mgmt,60.44,Not Placed
84,M,84,Others,79,Others,Science,68,Sci&Tech,66.69,Placed
85,M,70,Central,63,Others,Science,70,Sci&Tech,62,Placed
86,F,83.84,Others,,Others,Commerce,77.2,Comm&Mgmt,,Placed
87,M,62,Others,63,Others,Commerce,64,Comm&Mgmt,57.03,Placed
88,M,,Central,51,Central,Science,60,Others,,Not Placed
89,F,66,Central,62,Central,Commerce,73,Comm&Mgmt,64.36,Placed
90,F,84,Others,75,Others,Science,69,Sci&Tech,62.36,Placed
91,F,85,Others,90,Others,Commerce,82,Comm&Mgmt,68.03,Placed
92,M,52,Central,,Central,Commerce,50.8,Comm&Mgmt,62.79,Not Placed
93,F,60.23,Central,69,Central,Science,66,Comm&Mgmt,59.47,Placed
94,M,52,Central,62,Central,Commerce,54,Comm&Mgmt,55.41,Not Placed
95,M,58,Central,,Central,Commerce,64,Comm&Mgmt,54.97,Placed
96,M,73,Central,78,Others,Commerce,65,Comm&Mgmt,62.16,Placed
97,F,,Central,70,Central,Science,76,Comm&Mgmt,,Placed
98,F,70.5,Central,62.5,Others,Commerce,61,Comm&Mgmt,69.03,Not Placed
99,F,69,Central,,Central,Commerce,65,Comm&Mgmt,57.31,Placed
100,M,54,Central,82,Others,Commerce,,Sci&Tech,59.47,Not Placed
